FIPS,response,Density.per.square.mile.of.land.area...Population,Ave.Tmp,crime_rate_per_100000_scaled,percent.male,percent.disabled,percent.age.65.plus,percent.black,percent.hispanic,Urban_Influence_Code_2013,Unemployment_rate_2018,Median_Household_Income_2018,Percent.of.adults.with.HS.or.less.2014.18,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Total.Hospitals..2019.,state.testing.rate,days_closing_of_public_venues,days_social_distancing
8101,0,66.7,61.2,50.17002063,0.492786324,0.185752914,0.18497096,0.025810457,0.4309045,2,4.9,48308,39.3,262.5,2.617841007,8893.913525,43,143
48073,1,48.3,73.5,50.11989465,0.510001521,0.13264,0.175520992,0.145763614,0.235986462,5,4.1,43483,52.2,199.9,0.9583222,12206.45098,49,0
47109,0,46.3,69.01666667,50.11476664,0.491328585,0.13264,0.207881697,0.060816042,0.021523692,6,5.4,39859,63.2,225.8,0.4387999,21323.79406,35,0
35025,0,14.7,69.45,50.10137816,0.513826838,0.095257933,0.114177357,0.04292425,0.593627444,8,4.1,51656,59.5,213.8,1.362037254,25603.08924,74,99
1059,1,50,68.5,49.79068882,0.504511686,0.13264,0.168861397,0.045499474,0.177502152,6,3.7,39388,60,196.7,0.648065998,13629.40619,44,128
21123,0,54.3,65.51666667,49.77246871,0.496400363,0.13264,0.176417138,0.030754176,0.032431677,2,4.4,45458,57.8,214.6,0.336190656,12721.18617,105,105
20061,0,89.3,64.25,49.75390541,0.528195373,0.13264,0.08645763,0.185494263,0.165521262,5,4.8,50856,32.1,206.5,1.55609075,9780.923031,92,98
1123,1,58.1,71.08333333,49.75365871,0.48477665,0.13264,0.215596217,0.2714769,0.023507914,6,4.2,42205,52.4,196.7,0.836805431,13629.40619,44,88
48123,1,22.1,77.86666667,49.74881725,0.525189478,0.13264,0.19928667,0.094763957,0.355377223,6,3.1,49208,58.2,199.9,0.367844,12206.45098,49,0
27059,0,86.8,54.15,49.73301225,0.505679828,0.13264,0.160736626,0.008807486,0.021368163,1,3.7,73468,42.1,265,0.904566046,17609.14542,66,95
12005,1,222.6,75.8,49.71797905,0.49614382,0.21522287,0.170967202,0.116797185,0.067063528,2,4,51777,41.1,240.7,1.887725503,16420.56144,142,142
37165,0,113.4,72.16666667,49.68771686,0.496466533,0.13264,0.182964665,0.389744326,0.030680839,5,7.4,36730,54.3,223.5,0.375468286,16127.1973,105,108
51143,0,65.5,66.9,49.65879601,0.493002346,0.13264,0.226254738,0.215475233,0.027481993,5,3.6,44710,53.3,231.8,0.6869359,12615.00326,98,98
22091,1,27.4,74,49.65517241,0.482069772,0.13264,0.19937634,0.523094913,0.01880725,2,6.6,38699,64.3,231.8,0.347940698,27859.50507,45,99
22117,1,70.4,73.88333333,49.54867619,0.494332575,0.13264,0.179361127,0.304280623,0.02449444,3,5.7,36850,65.5,231.8,1.579397156,27859.50507,45,99
48057,1,42.2,78.21666667,49.52765294,0.513798061,0.13264,0.179490747,0.031816706,0.491210983,5,4.1,52085,52.6,199.9,0.3928808,12206.45098,49,0
47091,1,61.1,60.73333333,49.50770429,0.538474519,0.13264,0.228147148,0.023399708,0.02159973,6,3.5,35778,62.3,225.8,0.3019892,21323.79406,35,0
55123,0,37.6,55.46666667,49.45761482,0.503426994,0.13264,0.195257431,0.004872503,0.015721943,6,2.9,51692,49,238.3,0.7042844,15567.01201,58,105
35061,0,71.8,65,49.28949714,0.501595689,0.188278225,0.176598305,0.016453908,0.610207178,2,5.5,46365,49.8,213.8,1.49596932,25603.08924,74,99
8033,0,1.9,51.43333333,49.28536225,0.525554484,0.13264,0.25072324,0.003857281,0.06219865,12,2.8,47482,46.5,262.5,0.032408731,8893.913525,43,103
48183,0,445.4,73,49.25868123,0.485922381,0.136273614,0.15371806,0.208969581,0.191888899,2,4.1,50610,44.9,199.9,2.254167,12206.45098,49,0
21137,0,74.1,64.91666667,49.24086992,0.490017854,0.13264,0.182235027,0.022642428,0.016839799,8,5,42190,65.6,214.6,0.579092929,12721.18617,105,105
31147,0,15.2,62.88333333,49.23076923,0.502708832,0.13264,0.246692705,0.004661711,0.019654781,11,3,47573,42.5,214.5,0.382601588,13649.29219,64,93
48273,0,36.4,80.06666667,49.21965048,0.512030582,0.13264,0.12942915,0.041633204,0.734042211,5,5,42605,46,199.9,0.5672272,12206.45098,49,0
29103,0,8.2,61.95,49.17629702,0.500126678,0.13264,0.22067393,0.005320497,0.011147707,10,2.8,39309,58.1,236.3,0.078599163,10768.33814,99,99
30091,0,2,50.96666667,49.07306434,0.50671729,0.13264,0.226051402,0.005257009,0.048189252,12,2.4,51690,36.9,236.2,0.180498068,15471.40753,33,0
13215,1,877.5,72.58333333,49.05731077,0.485934281,0.174747631,0.133930779,0.478054182,0.076679028,2,5.1,46628,40,202.9,2.676293256,14245.1139,142,138
25019,0,226.2,56.86666667,49.04317723,0.509314028,0.13264,0.148318178,0.106736117,0.153085548,11,4.4,97525,23.1,353.7,0.123081232,16555.90139,63,109
12097,1,202.4,78.3,48.84356659,0.493119378,0.156746107,0.132082394,0.138533656,0.552854697,1,3.6,50473,45.1,240.7,3.749124914,16420.56144,142,142
45091,0,332.2,69.83333333,48.83795741,0.482412684,0.093587433,0.143135438,0.193664772,0.057464304,1,3.3,64904,36.3,205,3.720234,13226.40955,47,141
20177,0,327.1,64.51666667,48.81703955,0.484273151,0.128017623,0.181950321,0.084946957,0.126288035,2,3.5,53612,39.3,206.5,8.474091922,9780.923031,137,138
46103,0,36.4,53.16666667,48.69469842,0.503844123,0.158911294,0.179783225,0.01455307,0.051544362,2,3.1,58738,34.8,219.1,7.218658,12401.84071,0,139
39157,0,163.1,61.13333333,48.55835635,0.493447318,0.152339004,0.196092258,0.009254036,0.028749349,5,4.6,51030,59.8,248.6,1.529769,12155.23009,39,100
